id,recordStatus,productNK,endDate,endedByAssociate,effectiveDate,enteredByAssociate,createDate,NonExistColumn1
1,active,Nk1,1555382742777,TRUE,1455382742777,TRUE,1455382742777,1
,NOT VALID,Nk2,1555382742777,TRUE,1455482742777,FALSE,1455382742777,2
,invalid,Nk3,1555382742777,,1455582742777,TRUE,1455382742777,3
,,,,,,,,
,active,Nk4,1555382742777,TRUE,,FALSE,1455352742777,
2,invalid,Nk5,1555382742777,FALSE,1455382742777,,1455342742777,
,,,,,,,,
,active,,1555382742777,FALSE,1455882742777,FALSE,1455332742777,8
3,active,Nk7,,NOT VALID,1455982742777,TRUE,1455282742777,9
4,active,Nk7,1555382742777,,NOT VALID,TRUE,1455282742777,9
